law_act_id,paragraph_id,text
2910442,2910472,O‘zbekiston Respublikasining 2015-yil 29-dekabrdagi O‘RQ-396-son “O‘zbekiston Respublikasining ayrim qonun hujjatlariga o‘zgartish va qo‘shimchalar kiritish to‘g‘risida”gi
2910442,2910473,"1. O‘zbekiston Respublikasi moliya vazirining 2014-yil 17-fevraldagi 9-son buyrug‘i (ro‘yxat raqami 2564, 2014-yil 28-fevral) (O‘zbekiston Respublikasi qonun hujjatlari to‘plami, 2014-y., 9-son, 102-modda) bilan tasdiqlangan Sug‘urtalovchilar tomonidan yillik moliyaviy hisobotni e’lon qilish tartibi to‘g‘risidagi 2. Mazkur buyruq rasmiy e’lon qilingan kundan e’tiboran kuchga kiradi. 1. “Aksiyadorlik jamiyati bo‘lgan sug‘urtalovchi Xalqaro moliyaviy hisobot standartlariga muvofiq tuzilgan yillik moliyaviy hisobotni u Xalqaro audit standartlariga muvofiq tashqi auditdan o‘tkazilganidan keyin e’lon qiladi.”. 2."
2910442,2910487,"“3. Sug‘urtalovchi yillik moliyaviy hisobotni majburiy auditorlik tekshiruvi yakunlanganidan keyin o‘n besh kun ichida, lekin sug‘urtalovchining yuqori boshqaruv organining yillik umumiy yig‘ilishi o‘tkaziladigan sanadan kamida ikki hafta oldin, o‘zining rasmiy veb-saytida va moliyaviy-iqtisodiy yo‘nalishdagi respublika bosma nashrlarida e’lon qiladi. Bunda sug‘urtalovchi tomonidan, aksiyadorlik jamiyati bo‘lgan sug‘urtalovchi bundan mustasno, bosma nashrlarda yillik moliyaviy hisobotning faqat quyidagi shakllari (qisqartirilgan shaklda bo‘lishi mumkin) sug‘urtalovchining rasmiy veb-saytida e’lon qilingan yillik moliyaviy hisobotiga havola majburiy tartibda ko‘rsatilgan holda e’lon qilinadi: “Buxgalteriya balansi” — 1-sonli shakl — sug‘urta; “Moliyaviy natijalar to‘g‘risidagi hisobot” — 2-sonli shakl — sug‘urta.”."
