law_act_id,paragraph_id,text
1267656,1267725,"O‘zbekiston Respublikasi Konstitutsiyaviy sudi rais o‘rinbosari B. Mirboboyev, sudyalar U. Bozorov, G. Pirjanov va S. Hakimovadan iborat tarkibda, O‘zbekiston Respublikasi Konstitutsiyasi 109-moddasi birinchi qismining Masala O‘zbekiston Respublikasi Vazirlar Mahkamasining Konstitutsiyaviy sudga murojaati munosabati bilan “O‘zbekiston Respublikasining Konstitutsiyaviy sudi to‘g‘risida”gi O‘zbekiston Respublikasi Qonunining"
1267656,1267731,"Konstitutsiyaviy sud ma’ruzachi sudya S. Hakimovaning axborotini, O‘zbekiston Respublikasi Oliy Majlisi Qonunchilik palatasi qo‘mitasining raisi N. Ismoilov, O‘zbekiston Respublikasi Oliy Majlisi Qonunchilik palatasi qo‘mitasining raisi, Konstitutsiyaviy sud huzuridagi Ilmiy-maslahatlashuv kengashining a’zosi A. Saidov, O‘zbekiston Respublikasi Adliya vazirining o‘rinbosari E. Kanyazov, O‘zbekiston Respublikasi Vazirlar Mahkamasi yuridik bo‘limining mudiri B. Qo‘chqorov, O‘zbekiston Respublikasi Savdo-sanoat palatasining raisi A. Shayxovlarning fikrlarini eshitib, ish bo‘yicha mavjud materiallarni o‘rganib chiqib quyidagilarni O‘zbekiston Respublikasi Vazirlar Mahkamasining Konstitutsiyaviy sudga murojaatida “Chet ellik investorlar huquqlarining kafolatlari va ularni himoya qilish choralari to‘g‘risida”gi O‘zbekiston Respublikasi Qonuni 10-moddasining “Chet ellik investorlar huquqlarining kafolatlari va ularni himoya qilish choralari to‘g‘risida”gi O‘zbekiston Respublikasi Qonuni 10-moddasining “Chet ellik investorlar huquqlarining kafolatlari va ularni himoya qilish choralari to‘g‘risida”gi O‘zbekiston Respublikasi Qonuni 10-moddasining “Chet ellik investorlar huquqlarining kafolatlari va ularni himoya qilish choralari to‘g‘risida”gi O‘zbekiston Respublikasi Qonuni 10-moddasining 1. O‘zbekiston Respublikasi 2. O‘zbekiston Respublikasi Konstitutsiyasining Davlat, uning organlari, mansabdor shaxslar, jamoat birlashmalari, fuqarolar Konstitutsiya va qonunlarga muvofiq ish ko‘radilar”. 3. O‘zbekiston Respublikasi Konstitutsiyasining 4. “Chet ellik investorlar huquqlarining kafolatlari va ularni himoya qilish choralari to‘g‘risida”gi O‘zbekiston Respublikasi Qonuni 3-moddasining 5. “Chet ellik investorlar huquqlarining kafolatlari va ularni himoya qilish choralari to‘g‘risida”gi O‘zbekiston Respublikasi Qonuni 10-moddasining taraflar kelishuviga ko‘ra, ular o‘rtasidagi maslahatlashuvlar orqali, ya’ni taraflar tomonidan qonun asosidagi va doirasidagi har ikki tarafga ham maqbul bo‘lgan qarorni birgalikda ishlab chiqish yo‘li bilan;"
1267656,1267776,"agar taraflar kelishilgan hal qiluvga erisha olmasalar, bunday nizo O‘zbekiston Respublikasining xo‘jalik sudi tomonidan yoxud hakamlik vositasida investitsiyaga oid nizolarni hal etishga doir O‘zbekiston Respublikasi qo‘shilgan xalqaro shartnomalarning (bitimlar va konvensiyalarning) qoidalari va tartibotiga muvofiq hal etilishi lozim. Ushbu qoidalar mazmunidan “Chet ellik investorlar huquqlarining kafolatlari va ularni himoya qilish choralari to‘g‘risida”gi O‘zbekiston Respublikasi Qonuni 10-moddasi Investitsiyaga oid nizo taraflari yozma roziligining majburiyligi Konvensiya 25-moddasining 1-bandida nazarda tutilgan bo‘lib, mazkur Konvensiyaga muvofiq Markaz ta’sis etilgan."
1267656,1267783,Konvensiya 25-moddasining 1-bandi bilan belgilangan tartibga muvofiq nizo ishtirokchilarining investitsiyaga oid nizoni hal etish uchun Markazga o‘tkazish haqidagi yozma roziligining mavjudligi Markaz tomonidan bunday nizoni hal etishning majburiy sharti hisoblanadi.
1267656,1267784,"O‘zbekiston Respublikasi Konstitutsiyasi va qonunlarining ko‘rsatib o‘tilgan normalari, shuningdek ish bo‘yicha boshqa materiallar tahlili asosida Konstitutsiyaviy sud “Chet ellik investorlar huquqlarining kafolatlari va ularni himoya qilish choralari to‘g‘risida”gi O‘zbekiston Respublikasi Qonuni 10-moddasining Bayon qilinganlarga asoslanib va “O‘zbekiston Respublikasining Konstitutsiyaviy sudi to‘g‘risida”gi O‘zbekiston Respublikasi Qonunining 1. “Chet ellik investorlar huquqlarining kafolatlari va ularni himoya qilish choralari to‘g‘risida”gi O‘zbekiston Respublikasi Qonuni 10-moddasining “Chet ellik investorlar huquqlarining kafolatlari va ularni himoya qilish choralari to‘g‘risida”gi O‘zbekiston Respublikasi Qonuni 10-moddasining “Chet ellik investorlar huquqlarining kafolatlari va ularni himoya qilish choralari to‘g‘risida”gi O‘zbekiston Respublikasi Qonuni 10-moddasining 2. Ushbu Qaror “Xalq so‘zi” va “Narodnoye slovo” gazetalarida e’lon qilinsin."
