law_act_id,paragraph_id,text
5468603,5469739,"O‘zbekiston Respublikasining “Geografik obyektlarning nomlari to‘g‘risida”gi 1. To‘rtko‘l tumani hokimligi huzuridagi geografik obyektlarni nomlash va qayta nomlash masalalari bo‘iicha tuman komissiyasining bayonnomasiga asosan To‘rtko‘l tumani hududidagi nomlanadigan va qayta nomlanadigan qabristonlar nomlari ro‘yxati 2. Tuman statistika bo‘limi (U. Yerdjanov), tuman davlat soliq inspeksiyasi (A. Abdalov) va tegishli mutasaddi tashkilotlarga: Mazkur qaror 3. Tuman hokimining o‘rinbosari, To‘rtko‘l tumani geografik obyektlariga nom berish to‘g‘risidagi masalalari bo‘yicha tuman komissiyasi raisi o‘rinbosari (X. Matnazarov)ga:"
5468603,5469752,"Bir hafta muddatda hududlardagi nomlari o‘zgartirilgan va qayta nomlangan tumandagi ayrim hududlardagi qabristonlarning nomlarini aholi o‘rtasida keng targ‘ib etish, belgilangan tartibda zamonaviy ko‘rinishda, lotin yozuvida, peshlavhalarga yozib o‘rnatish ishlarini tashkil etish vazifalari yuklatilsin. 4. Tuman hokimligi huzuridagi geografik obyektlarni nomlash va qayta nomlash masalalari bo‘yicha tuman komissiyasi a’zolari, mahalla va oilani qo‘llab-quvvatlash bo‘limi va fuqarolar yig‘ini raislariga: bir hafta muddatda hududlarda qabriston nomlari o‘zgarganlik holatlari bo‘yicha aholi o‘rtasida keng targ‘ib etish yuzasidan tegishli chora-tadbirlar belgilansin. 5. To‘rtko‘l tumani hokimligi matbuot kotibi (M. Bekchanova)ga: Hududlarda nomlari o‘zgartirilgan qabristonlarning yangi nomlarini aholi o‘rtasida keng targ‘ib qilish hamda mazkur qarorni “To‘rtko‘lnoma” gazetasida va hokimlik veb-saytlariga joylashtirish vazifasi yuklatilsin. 6. Mazkur qaror bilan bog‘liq hujjatlar geografik obyektlarni nomlash va qayta nomlash masalalari bo‘yicha Qoraqalpog‘iston Respublikasi komissiyasiga taqdim etilsin. 7. Mazkur qaror ijrosini ta’minlash bilan bog‘liq moliyalashtirish yuzasidan tuman moliya bo‘limi 3 kun muddatda tuman hokimligiga taklif kiritsin. 8. Ushbu qaror rasmiy nashrda e’lon qilingan kundan e’tiboran qonuniy kuchga kiradi."
5468603,5469778,"9. Mazkur qaror ijrosini nazorat qilish tuman hokimining o‘rinbosari, Geografik obyektlarni nomlash va qayta nomlash masalalari bo‘yicha tuman komissiyasi raisi o‘rinbosari (X. Matnazarov)ga, Xalq deputatlari To‘rtko‘l tumani Kengashining “Ijtimoiy madaniy rivojlantirish va yoshlar masalalari” bo‘yicha doimiy komissiya raisi (Z. Xodjaniyazova)lar zimmalariga yuklatilsin."
