law_act_id,paragraph_id,text
7069120,7069129,O‘zbekiston Respublikasi Oliy Majlisining Qonunchilik palatasi qaror qiladi: 1. O‘zbekiston Respublikasi Vazirlar Mahkamasi tomonidan 2024-yil 14-iyunda kiritilgan “Kosmik faoliyat to‘g‘risida”gi QL-1174-sonli O‘zbekiston Respublikasi qonuni loyihasi birinchi o‘qishda qabul qilinsin.
7069120,7069131,"2. O‘zbekiston Respublikasi Oliy Majlisi Qonunchilik palatasining Innovatsion rivojlanish, axborot siyosati va axborot texnologiyalari masalalari qo‘mitasi kelib tushgan tuzatishlarni hisobga olgan holda mazkur qonun loyihasini uch oy ichida maromiga yetkazsin va ikkinchi o‘qishda Qonunchilik palatasi muhokamasiga kiritsin. 3. Ushbu Qaror qabul qilingan kundan e’tiboran kuchga kiradi."
